id,label
Deep Crimson Parma,Entity
standard round wooden shield,Entity
red paint,Entity
blood of warriors,Entity
Wooden shields,Entity
relatively high magic absorption,Entity
Dagger,Entity
citizens of the Undead Commune,Entity
inner blade,Entity
fish hook-like barbs,Entity
weapon,Entity
ritualistic use,Entity
Bellowing Dragoncrest Ring,Entity
sorceries,Entity
those who are deemed fit to undertake the journey of discovery in Vinheim,Entity
Bellowing dragon,Entity
the true nature of the consummate sorcerer,Entity
Shields,Entity
weak-willed knights,Entity
those who carried these shields,Entity
merciless ridicule,Entity
Shield Bash,Entity
Deep Porcine Shield,Entity
Darkwraith,Entity
land swallowed by darkness,Entity
Darkwraiths,Entity
first red orb invaders,Entity
originators of a unique sword technique,Entity
Raw Greatsword,Entity
one of the heaviest of its kind,Entity
the true limits of human strength,Entity
Stomp,Entity
one's weight to lunge forward with a low stance and increased poise,Entity
Chaos Washing Pole,Entity
"a stunning, unusually long katana",Entity
The extreme length of this blade,Entity
immense range,Entity
the blade extremely fragile,Entity
Lightning Broadsword,Entity
broad blade,Entity
crowds,Entity
walls in narrow spaces,Entity
Simpleton Sacred Wood Crest Shield,Entity
crest of a sacred tree,Entity
Sacred Wood Crest Shield,Entity
lightning damage,Entity
Knights of the Blue,Entity
Heavy Parrying Dagger,Entity
greatly curved guard,Entity
parrying,Entity
Parry,Entity
deflecting an attack and following up with a critical hit,Entity
Black Knights,Entity
chaos demons,Entity
black,Entity
shields,Entity
fire,Entity
Shields such as these,Entity
Crystal Porcine Shield,Entity
grave wardens,Entity
Dark Warden Twinblades,Entity
reincarnating corpses,Entity
weapons,Entity
profuse bleeding,Entity
Snap Freeze,Entity
cloud of near-freezing mist,Entity
Sulyvahn,Entity
spells,Entity
the painting,Entity
Hawkwood,Entity
Heavy Shield,Entity
deserter from the Undead Legion,Entity
Watchers' swordsmanship,Entity
use of shields,Entity
Saint Klimt,Entity
Blessed Saint Bident,Entity
a holy symbol,Entity
Silvercat Ring,Entity
damage from falling,Entity
old cat,Entity
a human tongue,Entity
an old woman,Entity
Hornet Ring,Entity
Lord's Blade Ciaran,Entity
Ciaran,Entity
one of the Four Knights of Gwyn,Entity
the only woman to serve in Gwyn's Four Knights,Entity
giant blacksmith of the gods,Entity
lightning bolts,Entity
gods,Entity
crossbows,Entity
pact between gods and humans,Entity
dragonless era,Entity
Simple Uchigatana,Entity
fine craftsmanship of an eastern land,Entity
finely-sharpened blade,Entity
bleeding,Entity
as a result,Entity
Dark Bastard Sword,Entity
heavy greatsword,Entity
lunge forward with a low stance and increased poise,Entity
Deep Soldier's Crossbow,Entity
common Lothric soldiers,Entity
a mix of miscellaneous metals,Entity
Medium shields,Entity
"a practical balance of damage absorption, stability and weight",Entity
,Entity
repelling an attack to follow up with a critical hit,Entity
Lingering Dragoncrest Ring+1,Entity
length of spell effect,Entity
lingering dragon,Entity
true nature of the consummate sorcerer,Entity
Gotthard,Entity
Dark Gotthard Twinswords,Entity
the castle,Entity
the knighthood,Entity
Fire Falchion,Entity
standard curved sword,Entity
falchion's slash attacks,Entity
armor and tough scale-covered hides,Entity
Spin Slash,Entity
Sunset Shield,Entity
Holy Knights of the Sunless Realms,Entity
a brilliant flame crest,Entity
brilliant flame crest,Entity
those who both harbor and oppose the power of flame,Entity
Refined Cleric's Parma,Entity
clerics on pilgrimage,Entity
a somewhat fragile blessing,Entity
blessing,Entity
spells to be deflected by parrying,Entity
Simpleton Crest Shield,Entity
a crest,Entity
Crest Shield,Entity
magic damage,Entity
which hand the shield is equipped in,Entity
Deep Warden Twinblades,Entity
Simple Saint Bident,Entity
holy symbol,Entity
Poison Uchigatana,Entity
easily,Entity
black knights,Entity
Greataxe,Entity
enemy poise,Entity
Warcry,Entity
attack,Entity
repelling an attack at the right time to follow up with a critical hit,Entity
while equipped in either hand,Entity
Heavy Black Knight Sword,Entity
foes larger than themselves,Entity
Champion of the Undead Match,Entity
Refined Valorheart,Entity
broad sword and lion shield,Entity
page and lone wolf,Entity
Dark Wood Grain Ring,Entity
rolling action,Entity
Agents of subterfuge,Entity
dark gold wood grain,Entity
wearer's rolling action,Entity
Poison Black Iron Greatshield,Entity
Knightslayer Tsorig,Entity
Black iron,Entity
high defense,Entity
Corvian Knights,Entity
Chaos Crow Talons,Entity
Sister Friede,Entity
Chaos Astora Sword,Entity
Astora,Entity
a land replete with royal blood,Entity
a reminder and heirloom of that era,Entity
Chaos Sunlight Shield,Entity
old Knight of Sunlight,Entity
holy symbol depicting the sun,Entity
the sun,Entity
Pike,Entity
longest range of the non-projectile weapons,Entity
unwieldy in certain situations,Entity
Charge,Entity
extending distance with strong attack while charging,Entity
Poison Mace,Entity
use in battle,Entity
a common weapon for clerics,Entity
the guard of a shield,Entity
Black Knight Sword,Entity
Deep Rotten Ghru Sword,Entity
blunt-horned Ghrus,Entity
acolytes of Farron Keep,Entity
rotten waste,Entity
Fire Carthus Shotel,Entity
Carthus swordsmen,Entity
ample dexterity,Entity
Raw Twin Dragon Greatshield,Entity
wood,Entity
a two-headed dragon,Entity
Greatshields,Entity
high stability and damage absorption,Entity
Blood Club,Entity
savage leaping attacks,Entity
most foes,Entity
Parrying Dagger,Entity
Standard Bolt,Entity
player,Entity
two types of bolts,Entity
Great Hammer,Entity
Carim Knights,Entity
warding charm of Carim Temple,Entity
twisted rage of Apostle Morne,Entity
Small daggers,Entity
power or reach,Entity
quick consecutive hits,Entity
Quickstep,Entity
especially effective when locked on to target,Entity
knights of the Cathedral of the Deep,Entity
Lightning Great Mace,Entity
inhuman strength,Entity
weaker shields,Entity
Dragonhead Shield,Entity
head of the descendant of an Archdragon,Entity
Ringed Knights,Entity
ranks who set out to slay the dragons,Entity
the gods,Entity
Dark Morning Star,Entity
sharp spike on its pommel,Entity
sharp thorns,Entity
strike weapon to induce bleeding,Entity
Perseverance,Entity
poise,Entity
The blade,Entity
mutilate flesh,Entity
induce bleeding,Entity
use normal attack,Entity
a foe's guard,Entity
Blood Crow Talons,Entity
Wolf Ring+3,Entity
Abysswalker Artorias,Entity
the Four Knights of Gwyn,Entity
a greatsword,Entity
Lightning Eagle Kite Shield,Entity
crest depicting a silver eagle,Entity
Equipping this shield in the left hand,Entity
one to perform the Skill of the right hand weapon,Entity
Red Hilted Halberd,Entity
clerics,Entity
a spear,Entity
an axe,Entity
Crystal Sniper Crossbow,Entity
Carim snipers,Entity
Sniper Crossbow,Entity
dexterity,Entity
Twisted dagger,Entity
wretched prisoners of Irithyll Dungeon,Entity
Feeble tailbone,Entity
Thrusting the dagger,Entity
strength of dragons,Entity
Morne's Great Hammer,Entity
Soothing Sunlight,Entity
maidens of the Princess of Sunlight,Entity
high HP for self and broad area,Entity
Gwynevere,Entity
all,Entity
Crystal Great Machete,Entity
worker's tool in the Undead Settlement,Entity
slash attack,Entity
Sharpen,Entity
Old Wolf Curved Sword,Entity
old wolf,Entity
Watchdogs of Farron,Entity
HP,Entity
Frayed Blade,Entity
Darkeater Midir,Entity
a dragon weapon,Entity
Blood Red and White Shield,Entity
red and white design,Entity
high magic absorption,Entity
Refined Warrior's Shield,Entity
double-bladed axe,Entity
perform the Skill of the right hand weapon,Entity
Refined Wooden Hammer,Entity
Undead Settlement,Entity
flesh and bone,Entity
Spin Bash,Entity
Bash foes with a large spinning motion,Entity
Poison Buckler,Entity
a very small round metal shield,Entity
a large central protrusion,Entity
an attack,Entity
Poison Shotel,Entity
favored weapon of the tragic Embraced Knight,Entity
sneak around the defenses of shields,Entity
ample dexterity to wield effectively,Entity
Heavy Dragon Crest Shield,Entity
dragon crest,Entity
Dragon Crest Shield,Entity
fire damage,Entity
Dark Edge,Entity
a forbidden dark sorcery,Entity
blade,Entity
humanity's darkness,Entity
mother to daughter,Entity
Big Hat Logan,Entity
Homing Soulmass,Entity
Life,Entity
the soul,Entity
soulmass,Entity
Lothric Knights,Entity
dragons,Entity
Lothric Knights' shields,Entity
high lightning absorption,Entity
Heavy Lothric Shield,Entity
the royal crest,Entity
swordsman,Entity
distinguished guest of High Lord Wolnir,Entity
Deep Black Blade,Entity
master of a rare technique,Entity
Simple Bonewheel Shield,Entity
spikes,Entity
a strange skeleton,Entity
Wheel of Fate,Entity
enemies,Entity
order of knights,Entity
dragon blood,Entity
Greatsword,Entity
magic and lightning damage,Entity
script symbolizing dragon blood,Entity
Caressing Tears,Entity
ailments for self and vicinity,Entity
Morne,Entity
Miracle,Entity
goddess Caitha,Entity
Poison Bastard Sword,Entity
Broad horizontal sweeping attacks,Entity
sword effective against multiple enemies,Entity
Poison Bandit's Knife,Entity
a wide single-edged shortsword,Entity
lowly thieves and bandits,Entity
blade of Poison Bandit's Knife,Entity
Great scythes,Entity
The mistress of the Painted World,Entity
a great scythe,Entity
Neck Swipe,Entity
heavy damage,Entity
Small shields,Entity
little damage absorption or stability,Entity
lightweight,Entity
ideal instruments for parrying,Entity
The flagpole,Entity
the Lothric crest,Entity
the knights,Entity
An ethereal war banner,Entity
the attack of those who gather under it,Entity
Gargoyles,Entity
Gargoyle Flame Hammer,Entity
Profaned Flame,Entity
Kindled Flurry,Entity
Simple Barbed Sword,Entity
Longfinger Kirk,Entity
blade of Simple Barbed Sword,Entity
countless deadly thorns,Entity
thorns of Simple Barbed Sword,Entity
heavy bleeding,Entity
Pickaxe,Entity
miner,Entity
large boulders,Entity
weaker armor,Entity
Deep Great Club,Entity
branch of a giant tree,Entity
considerable strength,Entity
Painting Guardians,Entity
Painting Guardian's Curved Sword,Entity
flat tip,Entity
Chained Dance,Entity
Fire Pontiff Knight Shield,Entity
thinly cold air,Entity
Shield of the Pontiff Knights,Entity
Irithyll's Boreal Spirits,Entity
slumber of fallen warriors,Entity
greatsword,Entity
one of the Watchdogs of Farron,Entity
exile's past misdeeds,Entity
Fire Crest Shield,Entity
crest,Entity
Silver Knights,Entity
old royal family,Entity
humble manor and ruined cathedral,Entity
goddess,Entity
goddess's blessing,Entity
knights' shields,Entity
Blood Llewellyn Shield,Entity
great smith,Entity
rare geisteel,Entity
damage absorption,Entity
Fire Whip,Entity
"an ancient, primal pyromancy",Entity
foes,Entity
Effective use of Fire Whip,Entity
agile footwork,Entity
Ghrus,Entity
Blessed Ghru Rotshield,Entity
poisonous,Entity
other poisons,Entity
Crystal Estoc,Entity
piercing through the armor of knights,Entity
sharp edge of the sword's rock-solid blade,Entity
slashing attacks,Entity
Shield Splitter,Entity
pierce through enemy shields and inflict damage directly,Entity
